,h10, , ,h20, , ,h30, , ,h50, , 
 , ,avg loss,MCS p-value, ,avg loss,MCS p-value, ,avg loss,MCS p-value, ,avg loss,MCS p-value
 ,deepVOL_L2,1.0444084839387373,0.19,deepVOL_L3_seq2seq,1.0801809267564253,0.8,deepVOL_L3_seq2seq,1.0886286930604414,0.98,benchmark,1.0974462294402973,0.84
 ,deepVOL_L3,1.0389317165721546,1,deepVOL_L2_seq2seq,1.0774124969135632,1,deepVOL_L2_seq2seq,1.088404362851923,1,deepOF_L1,1.0951808149164373,1
CHTR,deepVOL_L2,,0.0,deepVOL_L2,,0.0,deepVOL_L2,,0.0,deepVOL_L2,,0.0
 ,deepVOL_L3,,0.0,deepVOL_L3,,0.0,deepVOL_L3,,0.0,deepVOL_L3,,0.0
 ,deepVOL_L2_seq2seq,,0.0,deepVOL_L2_seq2seq,,0.0,deepVOL_L2_seq2seq,,0.0,deepVOL_L2_seq2seq,,0.0
 ,deepVOL_L3_seq2seq,,0.0,deepVOL_L3_seq2seq,,0.0,deepVOL_L3_seq2seq,,0.0,deepVOL_L3_seq2seq,,0.0
 ,deepOF_L1_seq2seq,2.3395165530118076,0.0,deepOF_L1_seq2seq,2.3486456220800225,0.0,deepOF_L1_seq2seq,2.3109887079759077,0.0,deepOF_L1_seq2seq,2.375200878490101,0.0
 ,deepLOB_L1_seq2seq,2.9213261821053247,0.0,deepLOB_L2,1.1176343614404851,0.0,deepLOB_L1_seq2seq,2.297225507822904,0.0,deepLOB_L1,1.1178912357850508,0.05
 ,deepOF_L2_seq2seq,1.1290813250975176,0.02,deepLOB_L1,1.113968469879844,0.0,deepOF_L2_seq2seq,1.1266548416831277,0.08,deepLOB_L2,1.1182571649551392,0.05
 ,deepLOB_L1,1.115179647098888,0.02,deepOF_L2_seq2seq,1.1257605444301257,0.0,deepLOB_L2,1.1155847744508223,0.08,deepOF_L2_seq2seq,1.1290645057504827,0.07
 ,deepLOB_L2,1.1099592447280884,0.02,deepLOB_L2_seq2seq,1.1202043186534534,0.01,deepLOB_L1,1.10916729406877,0.08,deepLOB_L2_seq2seq,1.121553041718223,0.16
 ,deepLOB_L2_seq2seq,1.12195547060533,0.02,benchmark,1.0983187515122212,0.01,deepLOB_L2_seq2seq,1.1199827627702192,0.08,benchmark,1.0990277728352518,0.85
 ,benchmark,1.0984469574587998,0.02,deepOF_L2,1.0865671634674072,0.1,benchmark,1.0986468955819446,0.08,deepLOB_L1_seq2seq,1.0996001308614558,0.85
 ,deepOF_L2,1.080317410555753,0.5,deepOF_L1,1.0852023471485486,0.11,deepOF_L2,1.0927076773210005,0.08,deepOF_L2,1.097138437357816,0.85
 ,deepOF_L1,1.0780659372156316,1,deepLOB_L1_seq2seq,1.0492083863778547,1,deepOF_L1,1.0882872126319192,1,deepOF_L1,1.0946278030222112,1
PCAR,deepLOB_L1_seq2seq,3.082266482439908,0.0,deepOF_L1_seq2seq,2.021390058777549,0.0,deepLOB_L1_seq2seq,2.622974222356623,0.0,deepOF_L1_seq2seq,2.1674961989576165,0.0
 ,deepOF_L1_seq2seq,1.7805722843516956,0.0,deepOF_L2_seq2seq,1.2349673834714023,0.0,deepOF_L1_seq2seq,2.0169497403231533,0.0,deepOF_L2_seq2seq,1.2213653976267034,0.0
 ,deepOF_L2_seq2seq,1.2573693665591152,0.0,deepLOB_L2_seq2seq,1.1806388226422397,0.0,deepOF_L2_seq2seq,1.2239434177225286,0.0,deepLOB_L1_seq2seq,1.2138758464293047,0.0
 ,deepLOB_L2_seq2seq,1.1894716674631292,0.0,deepLOB_L2,1.1209324164824053,0.04,deepLOB_L2,1.1228708895769985,0.0,deepLOB_L2_seq2seq,1.1668816696513782,0.0
 ,deepLOB_L1,1.1051866574720903,0.0,deepLOB_L1,1.124838265505704,0.04,deepLOB_L2_seq2seq,1.1720208363099531,0.0,deepLOB_L1,1.129383152181452,0.0
 ,benchmark,1.0994095842528215,0.0,deepLOB_L1_seq2seq,1.1700731299140237,0.21,deepLOB_L1,1.1288645267486572,0.0,deepLOB_L2,1.1187916777350686,0.0
 ,deepOF_L1,1.0914544734087857,0.0,deepOF_L2,1.0985167568380183,0.21,deepOF_L2,1.1058177514509722,0.14,deepVOL_L2,1.1147615692832253,0.01
 ,deepLOB_L2,1.09298743984916,0.02,deepOF_L1,1.0943541093306108,0.21,deepVOL_L2,1.1030798066746106,0.19,deepVOL_L2_seq2seq,1.1089055104689165,0.29
 ,deepVOL_L2,1.0761052586815574,0.44,benchmark,1.0981758167835496,0.21,deepVOL_L3,1.1000131477009167,0.35,deepOF_L2,1.1061849377372048,0.41
 ,deepVOL_L2_seq2seq,1.0740972757339478,0.44,deepVOL_L2,1.092457576231523,0.21,benchmark,1.098092599781004,0.44,deepVOL_L3,1.1014871380545876,0.77
 ,deepOF_L2,1.0674692392349243,0.94,deepVOL_L2_seq2seq,1.0885566039518877,0.53,deepOF_L1,1.0978961857882412,0.59,deepVOL_L3_seq2seq,1.1019142107530073,0.77
 ,deepVOL_L3_seq2seq,1.0667857365174727,0.94,deepVOL_L3,1.0846965312957764,0.53,deepVOL_L2_seq2seq,1.0965753143483943,0.59,benchmark,1.0985554857024586,0.77
 ,deepVOL_L3,1.0644567121158948,1,deepVOL_L3_seq2seq,1.080112944949757,1,deepVOL_L3_seq2seq,1.0881799134341152,1,deepOF_L1,1.0957546775991267,1
EXC,deepOF_L1_seq2seq,4.167082981629805,0.0,deepOF_L1_seq2seq,3.844251654364846,0.0,deepOF_L1_seq2seq,3.6544412699612705,0.0,deepOF_L1_seq2seq,3.2584459564902564,0.0
 ,deepOF_L2_seq2seq,1.7577170458706943,0.0,deepOF_L2_seq2seq,1.715916861187328,0.0,deepOF_L2_seq2seq,1.659116799181158,0.0,deepLOB_L2_seq2seq,1.553373401815241,0.0
 ,deepLOB_L1_seq2seq,3.9320451563054863,0.0,deepLOB_L2_seq2seq,1.6167634508826516,0.0,deepLOB_L2_seq2seq,1.586779464374889,0.0,deepOF_L2_seq2seq,1.6036473295905374,0.0
 ,deepLOB_L2_seq2seq,1.6249756596305154,0.0,deepLOB_L1_seq2seq,2.310571778904308,0.0,deepLOB_L1_seq2seq,3.0991583954204214,0.0,deepLOB_L1_seq2seq,1.6926824938167224,0.0
 ,deepLOB_L1,0.951699592850425,0.0,deepLOB_L1,1.1532454002987256,0.0,deepLOB_L2,1.0493237918073481,0.0,deepLOB_L2,1.1783579262820156,0.0
 ,deepOF_L1,0.8261137008666992,0.0,deepOF_L1,0.8715585741129789,0.0,deepLOB_L1,1.2047372243621133,0.0,deepLOB_L1,1.2796626524491743,0.0
 ,deepLOB_L2,1.0646576393734326,0.0,deepLOB_L2,1.0298443815924905,0.0,deepOF_L1,0.9066380641677163,0.0,benchmark,1.0191370812148686,0.0
 ,deepVOL_L3_seq2seq,0.7174017808654092,0.13,benchmark,0.8434497154821098,0.0,benchmark,0.9239507455640755,0.0,deepVOL_L3,1.0395035201852971,0.0
 ,benchmark,0.705798236494233,0.13,deepVOL_L3,0.7784652655774896,0.47,deepVOL_L3,0.861085441979495,0.02,deepOF_L1,0.9870622428980741,0.0
 ,deepVOL_L3,0.695430186661807,0.2,deepVOL_L3_seq2seq,0.7671081532131542,0.47,deepVOL_L2_seq2seq,0.8297675739635121,0.38,deepVOL_L2,0.9893223426558755,0.0
 ,deepVOL_L2_seq2seq,0.6813023252920671,0.2,deepVOL_L2_seq2seq,0.7531542723829096,0.47,deepVOL_L3_seq2seq,0.8290530389005487,0.38,deepVOL_L2_seq2seq,0.964464929970828,0.08
 ,deepOF_L2,0.6487746292894537,0.62,deepVOL_L2,0.7494391853159125,0.47,deepVOL_L2,0.8220477591861378,0.38,deepVOL_L3_seq2seq,0.9361808570948514,0.08
 ,deepVOL_L2,0.6380960670384493,1,deepOF_L2,0.7166055928577076,1,deepOF_L2,0.7822481068697843,1,deepOF_L2,0.8849162513559515,1
AAL,deepOF_L1_seq2seq,4.050939018076116,0.0,deepOF_L1_seq2seq,3.5552656650543213,0.0,deepLOB_L1_seq2seq,3.469776012680747,0.0,deepOF_L1_seq2seq,3.01562639799985,0.0
 ,deepLOB_L1_seq2seq,4.3591108972376045,0.0,deepLOB_L1_seq2seq,2.4573199532248755,0.0,deepOF_L2_seq2seq,1.6552516980604692,0.0,deepLOB_L1_seq2seq,1.8209647915580056,0.0
 ,deepLOB_L2_seq2seq,1.321788256818598,0.0,deepLOB_L2_seq2seq,1.3393563465638594,0.0,deepLOB_L2_seq2seq,1.3533891981298274,0.0,deepLOB_L2_seq2seq,1.3591213117946277,0.0
 ,deepOF_L2_seq2seq,1.6346164399927312,0.0,deepOF_L2_seq2seq,1.6527222828431563,0.0,deepOF_L1_seq2seq,3.327531782063571,0.0,deepOF_L2_seq2seq,1.6540354273535989,0.0
 ,deepLOB_L2,1.0323798764835705,0.0,deepLOB_L2,1.1186260743574663,0.0,deepLOB_L1,1.1442715633999219,0.0,deepLOB_L2,1.232845214280215,0.0
 ,deepLOB_L1,1.0500998551195317,0.0,deepLOB_L1,1.1576681191271,0.0,deepLOB_L2,1.061719834804535,0.0,deepLOB_L1,1.2778531096198342,0.0
 ,deepOF_L1,0.8463068170980974,0.0,deepOF_L1,0.9029608802361921,0.0,deepOF_L1,0.9407014575871554,0.01,benchmark,1.0212750961557964,0.0
 ,deepVOL_L3_seq2seq,0.7721014402129434,0.03,benchmark,0.8565060474322141,0.01,benchmark,0.9333044044290268,0.02,deepVOL_L3,1.028479809110815,0.02
 ,deepVOL_L2_seq2seq,0.7482427792115645,0.12,deepVOL_L3_seq2seq,0.8233115889809348,0.15,deepVOL_L3,0.9122143550352617,0.02,deepOF_L1,1.000331374731931,0.02
 ,benchmark,0.7248305747059538,0.71,deepVOL_L2_seq2seq,0.805901516567577,0.38,deepVOL_L3_seq2seq,0.8741015520962802,0.03,deepVOL_L2,0.9783608750863508,0.02
 ,deepVOL_L2,0.7274164720015093,0.71,deepVOL_L2,0.8063450293107466,0.38,deepVOL_L2,0.8783627315001055,0.14,deepVOL_L2_seq2seq,0.9537860696965997,0.1
 ,deepVOL_L3,0.7097835649143566,0.71,deepVOL_L3,0.8110242973674427,0.38,deepVOL_L2_seq2seq,0.8618682351979342,0.14,deepVOL_L3_seq2seq,0.9560724334283308,0.17
 ,deepOF_L2,0.6774142221970991,1,deepOF_L2,0.7318786165931008,1,deepOF_L2,0.8008444688536904,1,deepOF_L2,0.9239955815401945,1
WBA,deepOF_L1_seq2seq,2.5972219597209585,0.0,deepLOB_L2_seq2seq,1.430283318866383,0.0,deepOF_L1_seq2seq,2.177664951844649,0.0,deepLOB_L2_seq2seq,1.389878045428883,0.0
 ,deepLOB_L2_seq2seq,1.4469112808054143,0.0,deepOF_L1_seq2seq,2.4953500682657417,0.0,deepLOB_L2_seq2seq,1.4101229472593828,0.0,deepOF_L1_seq2seq,2.0751195495778862,0.0
 ,deepOF_L2_seq2seq,1.5572341247038408,0.0,deepOF_L2_seq2seq,1.520180344581604,0.0,deepOF_L2_seq2seq,1.4760447307066484,0.0,deepOF_L2_seq2seq,1.432466604492881,0.0
 ,deepLOB_L1_seq2seq,3.1682038849050347,0.0,deepLOB_L1_seq2seq,1.5742800994352861,0.0,deepLOB_L1_seq2seq,2.6032608422366055,0.0,deepLOB_L1,1.2840916243466465,0.0
 ,deepLOB_L1,1.0878551439805464,0.0,deepLOB_L1,1.1741931438446045,0.0,deepLOB_L2,1.164341839877042,0.0,deepLOB_L2,1.211503798311407,0.0
 ,deepOF_L1,0.9971045309847052,0.0,benchmark,1.040486604138181,0.0,deepLOB_L1,1.1971432729200884,0.0,deepLOB_L1_seq2seq,1.2819793224334717,0.0
 ,deepLOB_L2,1.1049389243125916,0.01,deepLOB_L2,1.2022127834233372,0.0,benchmark,1.0800731268988042,0.0,deepOF_L1,1.1099835634231567,0.28
 ,benchmark,0.9392157603766154,0.01,deepOF_L1,1.043833402070132,0.0,deepOF_L1,1.0733338052576238,0.08,deepVOL_L3,1.0966627164320513,0.28
 ,deepVOL_L3_seq2seq,0.9116047674959357,0.01,deepVOL_L3_seq2seq,0.976360407742587,0.15,deepVOL_L3,1.0367157134142788,0.08,benchmark,1.0986079578532577,0.28
 ,deepVOL_L2,0.889160925691778,0.11,deepVOL_L2,0.9701708013361151,0.24,deepVOL_L2,1.0206690430641174,0.57,deepOF_L2,1.0884163108738987,0.28
 ,deepVOL_L2_seq2seq,0.8938732580705122,0.31,deepVOL_L3,0.9687276428396051,0.24,deepVOL_L3_seq2seq,1.018609507517381,0.57,deepVOL_L3_seq2seq,1.0752092328938572,0.66
 ,deepVOL_L3,0.8849185596812855,0.31,deepVOL_L2_seq2seq,0.9597272385250438,0.51,deepOF_L2,1.0151635300029407,0.57,deepVOL_L2,1.068672781640833,0.91
 ,deepOF_L2,0.8693953806703741,1,deepOF_L2,0.9537694345821034,1,deepVOL_L2_seq2seq,1.004906876520677,1,deepVOL_L2_seq2seq,1.0679158026521856,1
ATVI,deepOF_L1_seq2seq,2.8291036865927954,0.0,deepOF_L1_seq2seq,2.5941589962352407,0.0,deepOF_L1_seq2seq,2.7686435742811724,0.0,deepOF_L1_seq2seq,2.61520132151517,0.0
 ,deepLOB_L1_seq2seq,3.5788920250805942,0.0,deepLOB_L2_seq2seq,1.51316528970545,0.0,deepLOB_L1_seq2seq,2.7950766628438775,0.0,deepLOB_L2_seq2seq,1.4697790579362349,0.0
 ,deepLOB_L2_seq2seq,1.5242094018242576,0.0,deepOF_L2_seq2seq,1.5134881409731777,0.0,deepLOB_L2_seq2seq,1.496140956878662,0.0,deepOF_L2_seq2seq,1.4327629262750798,0.0
 ,deepOF_L2_seq2seq,1.544120560992848,0.0,deepLOB_L1_seq2seq,1.7475088943134656,0.0,deepOF_L2_seq2seq,1.4741554802114314,0.0,deepLOB_L1_seq2seq,1.4044743126088923,0.0
